,0,1
0,2차 국가장학금,국가장학금
1,ck-1 장학금,K-STAR장학금
2,compassk,K-STAR장학금
4,face,K-STAR장학금
5,FISEP,FISEP장학금
6,kstar,K-STAR장학금
,KSTAR,K-STAR장학금
8,k-star,K-STAR장학금
14,LINC,LINC장학금
15,linc,LINC장학금
16,Linc+ 장학금,LINC장학금
17,RIC 장학금RIC장학금,RIC장학금
18,ric 장학금,RIC장학금
19,겅적장학금,학기성적우수장학금
20,계대 다자녀 장학금,다자녀장학금
21,계명 행복 기초,저소득층자녀장학금
22,계명 행복 장학금,저소득층자녀장학금
23,계명대 사랑장학금,학기성적우수장학금
24,계명대 정의 장학금,학기성적우수장학금
25,계명대 정의장학금,학기성적우수장학금
26,계명대 진리장학금,학기성적우수장학금
27,계명복지 장학금,계명복지장학금
28,계명성취장학,특별외국어성적장학금
29,계명참스승장학금,계명참스승장학금
30,계명행복,저소득층자녀장학금
31,계명행복 장학금,저소득층자녀장학금
32,계명행복기초,저소득층자녀장학금
33,계명행복기초 장학금,저소득층자녀장학금
34,계명행복우수장학금,저소득층자녀장학금
35,계명행복장학 (차상위),저소득층자녀장학금
36,계명행복장학,저소득층자녀장학금
37,계명행복장학금,저소득층자녀장학금
38,계명행복장학금 기초,저소득층자녀장학금
39,고졸 후학습자 장학금(희망사다리 2유형),고졸후학습자장학금(희망사다리2유형)
40,공인영어성적향상 장학금,특별외국어성적장학금
41,공인토익 장학금,특별외국어성적장학금
42,공인토익성적향상격려장학금,특별외국어성적장학금
43,공인토익장학금,특별외국어성적장학금
44,교내 근로 장학금,교내근로장학금
45,교내 장학금,교내장학금
46,교내성적장학금,학기성적우수장학금
47,교외국가근로 장학금,국가근로장학금
48,교외근로 장학금,국가근로장학금
49,교외장학금,교외장학금
50,교직원 자녀 학비전액장학금,계명복지장학금
51,교직원자녀 장학금,계명복지장학금
52,국가 장학금,국가장학금
53,국가고시 장학금,국가고시장학금
54,국가교내근로,국가근로장학금
55,국가근로장학금,국가근로장학금
56,국가우수장학금 (이공계),국가우수(이공계)장학금
57,국가우수장학금,국가우수(이공계)장학금
58,국가장학금 (1유형),국가장학금1유형
59,국가장학금 (2유형),국가장학금2유형
60,국가장학금,국가장학금
61,국가장학금 1유형,국가장학금1유형
62,국가장학금 2유형,국가장학금2유형
63,국가장학금 2차,국가장학금
64,국가장학금 인문장학,인문100년장학금
65,국가장학금(2유형),국가장학금2유형
66,국가장학금(2유형코로나19),국가장학금2유형
67,국가장학금1유형,국가장학금1유형
68,국가장학금2유형,국가장학금2유형
69,국가지원금,국가장학금
70,국장,국가장학금
71,국장 1차,국가장학금
72,국장 2차,국가장학금
73,국장1유형,국가장학금1유형
74,국장1차,국가장학금
75,국장2유형,국가장학금2유형
76,국장2차,국가장학금
77,근로 장학금,교내근로장학금
78,근로장학금,교내근로장학금
79,기초생활 장학금,저소득층자녀장학금
80,기탁장학금,?
81,농업인 자녀 장학금,?
82,다자녀 장학금,다자녀장학금
83,다자녀국가장학금,다자녀장학금
84,다자녀장학금,다자녀장학금
85,대청교,대학생청소년교육지원장학금
86,대학생청소년교육지원장학금,대학생청소년교육지원장학금
87,덕운장학금,?
88,링크 우수 장학금,LINC장학금
89,링크 우수장학금,LINC장학금
90,링크 장학금,LINC장학금
91,링크 플러스 우수장학,LINC장학금
92,링크사업단 장학금,LINC장학금
93,링크성적장학금,LINC장학금
94,링크우수장학금,LINC장학금
95,링크장학금,LINC장학금
96,링크플러스 장학금,LINC장학금
97,멘토링 장학금,?
98,면학,면학장학금
99,면학사랑,면학장학금
100,면학장려,면학장학금
101,면학장려장학금,면학장학금
102,면학장학금,면학장학금
103,명예 장학금,명예장학
104,명예장학 ,명예장학
105,목사자녀 장학금,목사자녀장학금
106,목회자 자녀장학금,목사자녀장학금
107,목회자자녀장학금,목사자녀장학금
108,반액,?
109,반액 장학금,?
110,보훈 장학금,보훈장학금
111,복수외국어성적장학금,특별외국어성적장학금
112,봉사 장학금,봉사장학금
113,북한이탈주민,북한이탈주민장학금
114,비사우수,비사장학금
115,비사장학,비사장학금
116,비사장학금,비사장학금
117,사랑,사랑나눔장학금
118,사랑(1년) 장학금,사랑나눔장학금
119,사랑나눔장학금 A,사랑나눔장학금
120,성적 우수 장학금,학기성적우수장학금
121,성적 장학,학기성적우수장학금
122,성적 장학금,학기성적우수장학금
123,성적 장학금(진리/정의/사랑),학기성적우수장학금
124,성적 정의,학기성적우수장학금
125,성적 정의 장학금,학기성적우수장학금
126,성적 진리 장학금,학기성적우수장학금
127,성적사랑,학기성적우수장학금
128,성적사랑 장학금,학기성적우수장학금
129,성적사랑장학금,학기성적우수장학금
130,성적장학,학기성적우수장학금
131,성적장학금,학기성적우수장학금
132,성적정의,학기성적우수장학금
133,성적진리,학기성적우수장학금
134,신입 특별A,신입특별장학금
135,신입 특별B,신입특별장학금
136,신입생 계명행복 장학금,저소득층자녀장학금
137,신입생 장학금 사랑,신입생성적장학금
138,신입특별 B 장학금,신입특별장학금
139,신입특별B 장학금,신입특별장학금
140,신입특별장학,신입특별장학금
141,어학 특별장학금,특별외국어성적장학금
142,어학교육장학,특별외국어성적장학금
143,영어성적 장학금,특별외국어성적장학금
144,예술체육 장학금,예술체육비전장학금
145,예술체육비전장학금,예술체육비전장학금
146,외국어 성적 향상 장학금,특별외국어성적장학금
147,외국어 장학금,특별외국어성적장학금
148,외부장학금,교외장학금
149,인문100년 장학금,인문100년장학금
150,인성교육 장학금,K-STAR장학금
151,입학 장학금,신입생장학금
152,입학성적우수장학,신입생성적장학금
153,입학장학금,신입생장학금
154,자기주도인재,자기주도인재장학금
155,저소득층 자녀 장학금,저소득층자녀장학금
156,저소득층 자녀 장학금(계명행복기초),저소득층자녀장학금
157,전액 성적 장학금,학기성적우수장학금
158,전액 장학금,?
159,전액장학금,?
160,전장,?
161,정의,?
162,정의 장학금,?
163,중소기업취업연계장학금,중소기업취업연계 장학금(희망사다리1유형)
164,중소기업 희망사다리 장학금,중소기업취업연계 장학금(희망사다리1유형)
165,지역(지방)인재장학금,지역인재장학금
166,지역선도 장학금,LINC장학금
167,지역인재,지역인재장학금
168,지역인재 장학금,지역인재장학금
169,지역인재장학금,지역인재장학금
170,지연인재 장학금,지역인재장학금
171,진리,?
172,진리장학금,?
173,차상위계층 장학 ,?
174,참스승 장학금,계명참스승장학금
175,채장,채플장학금
176,채플 장학,채플장학금
177,채플 장학금,채플장학금
178,채플 장학생,채플장학금
179,채플장학금,채플장학금
180,청소년교육지원장학금,대학생청소년교육지원장학금
181,총장,총장특별장학금
182,총장 성적우수 장학금,총장특별장학금
183,총장 장학금,총장특별장학금
184,총장 특별 (성적 우수) 장학금,총장특별장학금
185,총장 특별 머시기 장학금,총장특별장학금
186,총장 특별 성적 우수 장학금,총장특별장학금
187,총장 특별 성적 장학금,총장특별장학금
188,총장 특별 장학금,총장특별장학금
189,총장장학금,총장특별장학금
190,총장장학금 학업우수,총장특별장학금
191,총장특별,총장특별장학금
192,총장특별 장학금,총장특별장학금
193,총장특별(성적우수) 장학금,총장특별장학금
194,총장특별(학업우수) 장학금,총장특별장학금
195,총장특별(학업장려)장학금,총장특별장학금
196,총장특별성적우수,총장특별장학금
197,총장특별장학금,총장특별장학금
198,총장특병 성적우수 장학금,총장특별장학금
199,총학장학금,총장특별장학금
200,캠퍼스 케이,K-STAR장학금
201,컴케,K-STAR장학금
202,컴케 star 장학금,K-STAR장학금
203,컴케 장학금,K-STAR장학금
204,컴케장학금,K-STAR장학금
205,컴케장학금 T,K-STAR장학금
206,컴퍼스 K 장학금,K-STAR장학금
207,컴퍼스 케이 케이스타 장학금,K-STAR장학금
208,컴퍼스케이 장학금,K-STAR장학금
209,케이 컴퍼스,K-STAR장학금
210,케이스타,K-STAR장학금
211,케이스타 T장학금,K-STAR장학금
212,케이스타 장학금,K-STAR장학금
213,케이스타장학금,K-STAR장학금
214,케이컴퍼스,K-STAR장학금
215,코로나 관련 장학금,?
216,코로나 극복 장학금,?
217,코로나 특별장학금,?
218,코로나3차 장학금,?
219,코로나장학금,?
220,콤파스k,K-STAR장학금
221,콤파스케이,K-STAR장학금
222,토익,특별외국어성적장학금
223,토익 성적 올리면 장학금,특별외국어성적장학금
224,토익 성적 향상 장학금,특별외국어성적장학금
225,토익 성적향상 장학금,특별외국어성적장학금
226,토익 장학금,특별외국어성적장학금
227,토익 향상 장학금,특별외국어성적장학금
228,토익 향상장학금,특별외국어성적장학금
229,토익성적 향상 장학금,특별외국어성적장학금
230,토익성적향상장학,특별외국어성적장학금
231,토익안보고 성적만보는 장학금,?
232,토익으로 장학금,특별외국어성적장학금
233,토익장학금,특별외국어성적장학금
234,토익향상,특별외국어성적장학금
235,토익향상 장학금,특별외국어성적장학금
236,토익향상장학금,특별외국어성적장학금
237,특기 장학금,특기장학금
238,특기비사 우수,특기장학금
239,특기비사 최우수,특기장학금
240,특기사랑,특기장학금
241,특기정의,특기장학금
242,특별 장학금,특기장학금
243,특별 복수외국어장학금,특별외국어성적장학금
244,특별와국어장학금,특별외국어성적장학금
245,특별외국어 성적장학금 (계명성취장학),특별외국어성적장학금
246,특별외국어성적장학금,특별외국어성적장학금
247,특성화 장학금,?
248,특성화고교졸 재직자정의,?
249,특성화장학금,?
250,포항 지진장학금,?
251,푸른등대 ,푸른등대장학금
252,푸른등대 기부장학생,푸른등대장학금
253,푸른등대 장학금,푸른등대장학금
254,푸른등대 주거지원형 장학금,푸른등대장학금
255,푸른등대 코로나 긴급지원 장학금,푸른등대장학금
256,하계방학 현장실습 장학금,?
257,학기 성적우수 장학금,학기성적우수장학금
258,학기성적우수장학,학기성적우수장학금
259,학업우수,학기성적우수장학금
260,학업우수 장학금,학기성적우수장학금
261,학업우수 총장특별,학기성적우수장학금
262,학장 추천 장학,?
263,학장 특별장학금,?
264,학장장학금,?
265,행복 우수 장학금,저소득층자녀장학금
266,행복 장학금,저소득층자녀장학금
267,행복어쩌구장학금,저소득층자녀장학금
268,행복우수,저소득층자녀장학금
269,행복우수 장학금,저소득층자녀장학금
270,행복우수장학금,저소득층자녀장학금
271,행복장학금,저소득층자녀장학금
272,향복우수 장학금,저소득층자녀장학금
273,향토잔학금,?
274,현장실습장학금,?
275,형제장학금,다자녀장학금
276,후생복지 장학금,후생복지장학금
277,후생복지장학금,후생복지장학금
278,희망사다리 1유형,중소기업취업연계 장학금(희망사다리1유형)
279,희망사다리 2유형,고졸후학습자장학금(희망사다리2유형)
280,국가고시장학금,국가고시장학금
281,특기장학금,특기장학금
282,보훈장학금,보훈장학금
283,사랑나눔장학금B,사랑나눔장학금
284,사랑나눔장학금A,사랑나눔장학금
285,장애학생도우미장학금,장애학생도우미장학금
